Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
UNFI,"United Natural Foods, Inc.",41.12,2081289746,n/a,1996,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/unfi
UTHR,United Therapeutics Corporation,131.15,5909787528,n/a,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/uthr
UNIT,Uniti Group Inc.,26.82,4705521609,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/unit
OLED,Universal Display Corporation,120.15,5650445199,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/oled
URBN,"Urban Outfitters, Inc.",17.96,2079594830,n/a,1993,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/urbn
VNQI,Vanguard Global ex-U.S. Real Estate ETF,57.7,4401212558,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vnqi
VMBS,Vanguard Mortgage-Backed Securities ETF,52.84,4039680880,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vmbs
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,49.36,3548579791,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtip
BNDX,Vanguard Total International Bond ETF,54.73,7493152494,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bndx
VXUS,Vanguard Total International Stock ETF,52.7,8529591757,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxus
WOOF,VCA Inc. ,92.54,7520528042,n/a,2001,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/woof
VEON,VEON Ltd.,3.87,5185905632,1340027295,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/veon
VRNT,Verint Systems Inc.,41.75,2616669978,n/a,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/vrnt
VRSN,"VeriSign, Inc.",91.6,9295166242,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/vrsn
VSAT,"ViaSat, Inc.",69.52,4006342566,n/a,1996,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/vsat
VIAV,Viavi Solutions Inc.,11.18,2537606102,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/viav
