Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BOH,Bank of Hawaii Corporation,82.91,3541309128,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/boh
BKU,"BankUnited, Inc.",34.99,3737961826,n/a,2011,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bku
B,"Barnes Group, Inc.",59.07,3173451575,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/b
BFR,BBVA Banco Frances S.A.,19.1,3418122305,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bfr
BDC,Belden Inc,76.21,3221521227,n/a,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/bdc
BMS,"Bemis Company, Inc.",45.75,4206756374,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/bms
BERY,"Berry Global Group, Inc.",57.98,7508410000,n/a,2012,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/bery
BIG,"Big Lots, Inc.",50.31,2224330120,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/big
BIO,"Bio-Rad Laboratories, Inc.",222.63,6591118104,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/bio
BKH,Black Hills Corporation,69.98,3741258514,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/bkh
BKFS,"Black Knight Financial Services, Inc.",38.9,6016969454,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bkfs
BSM,"Black Stone Minerals, L.P.",15.7,3031413493,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bsm
BWP,Boardwalk Pipeline Partners L.P.,17.28,4325128393,n/a,2005,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/bwp
BAH,Booz Allen Hamilton Holding Corporation,39.19,5797017524,n/a,2010,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/bah
BWA,BorgWarner Inc.,43.93,9322806589,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/bwa
BOX,"Box, Inc.",18.57,2465606681,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/box
BYD,Boyd Gaming Corporation,25.2,2853498766,n/a,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/byd
BDN,Brandywine Realty Trust,17.57,3080503051,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bdn
BAK,Braskem S.A.,20.04,7985623749,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bak
BRFS,BRF S.A.,12.48,9971585458,n/a,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/brfs
BFAM,Bright Horizons Family Solutions Inc.,76.82,4596111946,n/a,2013,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/bfam
BCO,Brink&#39;s Company (The),66.45,3348248976,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/bco
BRX,Brixmor Property Group Inc.,19.46,5933221419,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brx
BR,"Broadridge Financial Solutions, Inc.",75.19,8840694858,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/br
BKD,Brookdale Senior Living Inc.,14.07,2619824024,n/a,2005,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/bkd
BPY,Brookfield Property Partners L.P.,23.41,5995734740,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/bpy
